id,Timestamp,Category,Money,Description,Details
807414410,2022-08-13T16:59:57.214302+00:00,fees,-2716,Market fees selling Electronics research,"{""remaining_fees"": ""$9169""}"
807414409,2022-08-13T16:59:57.212461+00:00,market,2716,Electronics research market order partially filled,"{""resource"": ""Electronics research"", ""amount"": 7, ""quality"": 0, ""price"": ""$388.00"", ""buyer"": ""Gentleman Company Poland"", ""profit"": ""$-1954"", ""fees"": ""$2716"", ""remaining_fees"": ""$9169""}"
807414062,2022-08-13T16:59:34.192120+00:00,executive salaries,-60003,Severance package for former executive Nicole Peirsol,{}
807412272,2022-08-13T16:57:30.728742+00:00,contract,-7800,Ginger beer contract from BUDWEISER BEER,"{""quantity"": 104, ""quality"": 9, ""price"": ""$75.000""}"
807412250,2022-08-13T16:57:28.951643+00:00,contract,-11750,Orange juice contract from Steffen Inc,"{""quantity"": 250, ""quality"": 7, ""price"": ""$47.000""}"
807412241,2022-08-13T16:57:27.908910+00:00,contract,-11750,Orange juice contract from Steffen Inc,"{""quantity"": 250, ""quality"": 7, ""price"": ""$47.000""}"
807412225,2022-08-13T16:57:26.923405+00:00,contract,-11750,Orange juice contract from Steffen Inc,"{""quantity"": 250, ""quality"": 7, ""price"": ""$47.000""}"
807412211,2022-08-13T16:57:25.864218+00:00,contract,-11750,Orange juice contract from Steffen Inc,"{""quantity"": 250, ""quality"": 7, ""price"": ""$47.000""}"
807411887,2022-08-13T16:57:02.901462+00:00,production,-61617,Production of Electronics research,"{""amount"": 237, ""price"": ""$259.99"", ""quality"": 0}"
807411779,2022-08-13T16:56:55.824580+00:00,production,-30679,Production of Electronics research,"{""amount"": 118, ""price"": ""$259.99"", ""quality"": 0}"
806746659,2022-08-13T04:02:38.281164+00:00,executive salaries,-20001,Executive salaries,{}
806535482,2022-08-13T00:12:37.377257+00:00,interest,-100,Bond interest payment,"{""bond value"": ""$20000"", ""interest"": ""0.5%"", ""owner"": ""ELECTRONICS LTDA""}"
806381995,2022-08-13T00:05:55.551479+00:00,interest,-825,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SharkzInc.""}"
806381984,2022-08-13T00:05:55.521767+00:00,interest,-357,Bond interest payment,"{""bond value"": ""$70000"", ""interest"": ""0.5%"", ""owner"": ""Rune Store DUS""}"
806381968,2022-08-13T00:05:55.474303+00:00,interest,-255,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Green Electricity""}"
806381588,2022-08-13T00:05:54.210301+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Frosch Corb.""}"
806379665,2022-08-13T00:05:48.201418+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SF AEROSPACE INDUSTRY""}"
806379657,2022-08-13T00:05:48.187438+00:00,interest,-790,Bond interest payment,"{""bond value"": ""$155000"", ""interest"": ""0.5%"", ""owner"": ""Deekshi Inc""}"
806379606,2022-08-13T00:05:48.086352+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Norsc Corp""}"
806379405,2022-08-13T00:05:47.642274+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Chiong Liong SBN.BHD.""}"
806379400,2022-08-13T00:05:47.626520+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""HY Market Co.""}"
806379392,2022-08-13T00:05:47.609654+00:00,interest,-50,Bond interest payment,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""owner"": ""XTechi""}"
806379374,2022-08-13T00:05:47.563586+00:00,interest,50,Bond yield,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""issuer"": ""HY Market Co.""}"
806370425,2022-08-13T00:05:22.068102+00:00,interest,-1100,Bond interest payment,"{""bond value"": ""$220000"", ""interest"": ""0.5%"", ""owner"": ""Gohard Enterprise""}"
806370394,2022-08-13T00:05:22.003375+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""E.Empires""}"
806362758,2022-08-13T00:04:59.272458+00:00,interest,-1025,Bond interest payment,"{""bond value"": ""$205000"", ""interest"": ""0.5%"", ""owner"": ""BAM Sim Company""}"
806360918,2022-08-13T00:04:55.092656+00:00,interest,-275,Bond interest payment,"{""bond value"": ""$55000"", ""interest"": ""0.5%"", ""owner"": ""Aewenion Arch""}"
806360913,2022-08-13T00:04:55.076217+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""KAKAMIMI""}"
806358837,2022-08-13T00:04:49.215501+00:00,interest,-2575,Bond interest payment,"{""bond value"": ""$515000"", ""interest"": ""0.5%"", ""owner"": ""Husar Sky and Space""}"
806338708,2022-08-13T00:03:51.472734+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""Fazenda Jardim""}"
806337474,2022-08-13T00:03:48.161057+00:00,interest,-500,Bond interest payment,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""owner"": ""Hexko""}"
806336291,2022-08-13T00:03:44.934853+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""AdiShop SARL.""}"
806334508,2022-08-13T00:03:40.102486+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Heux Inc""}"
806334494,2022-08-13T00:03:40.066476+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""Dagny Enterprises""}"
806333699,2022-08-13T00:03:37.534711+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Founders company""}"
805546180,2022-08-12T10:42:01.507513+00:00,production,-61706,Production of Electronics research,"{""amount"": 221, ""price"": ""$279.21"", ""quality"": 0}"
805546104,2022-08-12T10:41:57.194409+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
805545996,2022-08-12T10:41:51.374904+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
805542355,2022-08-12T10:37:14.899835+00:00,fees,-10719,Market fees selling Electronics research,{}
805542354,2022-08-12T10:37:14.897387+00:00,market,357280,Electronics research market order filled,"{""resource"": ""Electronics research"", ""amount"": 880, ""quality"": 0, ""price"": ""$406.00"", ""buyer"": ""Commodore"", ""profit"": 100848}"
805533879,2022-08-12T10:27:39.630818+00:00,production,-280,Production of Electronics research,"{""amount"": 1, ""price"": ""$280.00"", ""quality"": 0}"
805533841,2022-08-12T10:27:37.652978+00:00,production,-31551,Production of Electronics research,"{""amount"": 113, ""price"": ""$279.21"", ""quality"": 0}"
805533762,2022-08-12T10:27:33.358727+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
805533733,2022-08-12T10:27:31.495878+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
805533706,2022-08-12T10:27:29.767963+00:00,production,-30714,Production of Electronics research,"{""amount"": 110, ""price"": ""$279.22"", ""quality"": 0}"
805533670,2022-08-12T10:27:27.986309+00:00,production,-61706,Production of Electronics research,"{""amount"": 221, ""price"": ""$279.21"", ""quality"": 0}"
805533640,2022-08-12T10:27:26.141877+00:00,production,-61706,Production of Electronics research,"{""amount"": 221, ""price"": ""$279.21"", ""quality"": 0}"
805533623,2022-08-12T10:27:24.234006+00:00,production,-61706,Production of Electronics research,"{""amount"": 221, ""price"": ""$279.21"", ""quality"": 0}"
805218168,2022-08-12T04:03:40.999453+00:00,executive salaries,-20001,Executive salaries,{}
805010488,2022-08-12T00:12:33.733478+00:00,interest,-100,Bond interest payment,"{""bond value"": ""$20000"", ""interest"": ""0.5%"", ""owner"": ""ELECTRONICS LTDA""}"
804850999,2022-08-12T00:05:40.461964+00:00,interest,-825,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SharkzInc.""}"
804850982,2022-08-12T00:05:40.424088+00:00,interest,-357,Bond interest payment,"{""bond value"": ""$70000"", ""interest"": ""0.5%"", ""owner"": ""Rune Store DUS""}"
